stoid;hospital_name;street;postcode;city;state_code;longitude;latitude;website;phone;email;operator_type;is_childrens_hospital;beds;total_cases;nursing_staff_fte;paediatric_emergency_care;paediatric_departments;certifications_all;paediatric_diabetes_confirmed;ddg_paediatric_certified;source_data_date;retrieved_date;source_url
771843;Städtisches Krankenhaus Friedrichshafen;Röntgenstraße 2;88048;Friedrichshafen;BW;9.430213451451;47.673168568051;http://www.medizin-campus-bodensee.de;+49 (0)7541/960;INFO.FN@medizincampus.de;öffentlich;1;300;16469;390.96;0;Neonatologie (272.682 Fälle) | Pädiatrie (1856.474 Fälle);Darmkrebszentrum (gültig bis 29.12.2026);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
773367;Hegau-Jugendwerk;Kapellenstraße 31;78262;Gailingen am Hochrhein;BW;8.767243802531;47.690090684083;http://www.hegau-jugendwerk.de;+49 (0)7734/939-0;info@hegau-jugendwerk.de;öffentlich;1;38;202;46.77;0;Neurologie/Schwerpunkt Pädiatrie (68.696 Fälle);;;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772384;ALB FILS KLINIKUM GmbH;Eichertstraße 3;73035;Göppingen;BW;9.65062236799;48.690485873164;https://www.alb-fils-klinikum.de;+49 (0)7161/64-0;info@af-k.de;öffentlich;1;644;29988;504.314;2;Pädiatrie (2518.316 Fälle);EndoProthetikZentrum (gültig bis 12.09.2027) | Nephrologische Schwerpunktklinik (gültig bis 11.10.2026) | Onkologisches Zentrum (gültig bis 29.09.2026) | Gefäßzentrum (gültig bis 14.12.2026);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771700;Universitätsklinikum Heidelberg Neuenheimer Feld;Im Neuenheimer Feld 410;69120;Heidelberg, Neckar;BW;8.666608057802;49.415662817791;http://www.klinikum.uni-heidelberg.de;+49 (0)6221/56-0;contact@med.uni-heidelberg.de;öffentlich;1;1379;68050.458;1543.916;3;Kinderchirurgie (1485.521 Fälle) | Neonatologie (1361.232 Fälle) | Kinderkardiologie (810.275 Fälle) | Pädiatrie/Schwerpunkt Kinderneurologie (-1 Fälle) | Pädiatrie/Schwerpunkt Hämatologie und internistische Onkologie (2802.319 Fälle) | Pädiatrie (4669.188 Fälle);Wundmanagement im Krankenhaus (gültig bis 13.12.2026) | Ernährungsmedizinische Schwerpunktklinik (gültig bis 23.02.2028) | Überregionales Heart Failure Unit-Zentrum (gültig bis 15.12.2029) | Chest Pain Unit (gültig bis 05.10.2026) | TraumaZentrum (gültig bis 05.12.2026) | TraumaNetzwerk (gültig bis 16.10.2026) | MUKOzert (gültig bis 06.01.2028) | Gefäßchirurgie und Gefäßmedizin (gültig bis 30.11.2027) | Diabetes Exzellenzzentrum (gültig bis 30.09.2027) | Stroke Unit (gültig bis 10.05.2028) | Chirurgie des Magens und der Speiseröhre (gültig bis 31.07.2027) | Medizinisches Wundcentrum mit Gefäßchirurgie (gültig bis 13.12.2026) | Zentren für Seltene Erkrankungen (gültig bis 21.08.2026) | Brustkrebszentrum (gültig bis 30.12.2028) | Zentrum für familiären Brust- und Eierstockkrebs (gültig bis 30.12.2028) | Kinderonkologisches Zentrum (gültig bis 30.12.2028) | Kopf-Hals-Tumor-Zentrum (gültig bis 30.12.2028) | Sarkomzentrum (gültig bis 30.12.2028) | Prostatakrebszentrum (gültig bis 30.12.2028) | Hautkrebszentrum (gültig bis 30.12.2028) | Gynäkologisches Krebszentrum (gültig bis 30.12.2028) | Zentrum für Hämatologische Neoplasien (gültig bis 30.12.2028) | Speiseröhrenkrebszentrum (gültig bis 30.12.2028) | Leberkrebszentrum (gültig bis 30.12.2028) | Magenkrebszentrum (gültig bis 30.12.2028) | Darmkrebszentrum (gültig bis 30.12.2028) | Zentrum für Personalisierte Medizin (gültig bis 30.12.2029) | Onkologisches Zentrum (gültig bis 30.12.2028);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771378;Klinikum Heidenheim;Schloßhaustraße 100;89522;Heidenheim an der Brenz;BW;10.140581488618;48.672888376689;http://www.Kliniken-Heidenheim.de;+49 (0)7321/330;info@kliniken-heidenheim.de;öffentlich;1;406;21257;407.885;0;Pädiatrie (1912.555 Fälle);EndoProthetikZentrum (gültig bis 04.01.2028);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772048;SLK-Kliniken Heilbronn GmbH- Klinikum am Gesundbrunnen Heilbronn;Am Gesundbrunnen 20-26;74078;Heilbronn;BW;9.191268878058;49.153964321063;http://www.slk-kliniken.de/ueber-uns/standorte/klinikum-am-gesundbrunnen/;+49 (0)7131/49-0;info@slk-kliniken.de;öffentlich;1;967;51510;717.109;3;Kinder- und Jugendpsychiatrie/Tagesklinik (für teilstationäre Pflegesätze) (35 Fälle) | Kinderkardiologie/Schwerpunkt Intensivmedizin (274.103 Fälle) | Pädiatrie (6329.925 Fälle);Chest Pain Unit (gültig bis 22.12.2027) | TraumaZentrum (gültig bis 08.10.2027) | MUKOzert (gültig bis 11.12.2026) | AltersTraumaZentrum (gültig bis 28.05.2027) | Brustkrebszentrum (gültig bis 26.05.2029) | Kopf-Hals-Tumor-Zentrum (gültig bis 26.05.2029) | Nierenkrebszentrum (gültig bis 26.05.2027) | Prostatakrebszentrum (gültig bis 26.05.2027) | Hautkrebszentrum (gültig bis 16.04.2028) | Gynäkologisches Krebszentrum (gültig bis 26.05.2029) | Zentrum für Hämatologische Neoplasien (gültig bis 26.05.2029) | Magenkrebszentrum (gültig bis 26.05.2029) | Pankreaskrebszentrum (gültig bis 26.05.2029) | Darmkrebszentrum (gültig bis 26.05.2029) | Onkologisches Zentrum (gültig bis 26.05.2029) | Diabetes Exzellenzzentrum (gültig bis 24.09.2028);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772143;Städtisches Klinikum Karlsruhe gGmbH;Moltkestraße 90;76133;Karlsruhe, Baden;BW;8.373053893447;49.017178424467;;+49 (0)721/974-0;geschaeftsfuehrung@klinikum-karlsruhe.de;öffentlich;1;941;52279;1101.99;3;Kinderchirurgie (1985.766 Fälle) | Pädiatrie/Schwerpunkt Neonatologie (824.721 Fälle) | Pädiatrie (5241.368 Fälle);Medizinisches Wundcentrum mit Gefäßchirurgie (gültig bis 18.10.2027) | Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 30.09.2026) | Brustkrebszentrum (gültig bis 30.03.2028) | Dysplasie-Einheit (gültig bis 05.09.2027) | Gynäkologisches Krebszentrum (gültig bis 30.03.2028) | Chest Pain Unit (gültig bis 23.06.2028) | Gefäßzentrum (gültig bis 30.09.2027) | Stroke Unit (gültig bis 16.06.2028) | Nephrologische Schwerpunktklinik (gültig bis 21.06.2028) | Cochlea-Implantat versorgende Einrichtung (gültig bis 15.08.2029) | Zentrum für Hypertonie (gültig bis 23.07.2028) | Kopf-Hals-Tumor-Zentrum (gültig bis 30.03.2029) | Hautkrebszentrum (gültig bis 30.03.2029) | Zentrum für Hämatologische Neoplasien (gültig bis 20.01.2029) | Onkologisches Zentrum (gültig bis 30.03.2029) | Prostatakrebszentrum (gültig bis 20.01.2029) | Pankreaskrebszentrum (gültig bis 30.03.2029) | Analkrebszentrum (gültig bis 30.03.2029) | Darmkrebszentrum (gültig bis 30.03.2029);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772585;Klinikum Konstanz GmbH;Mainaustraße 35;78464;Konstanz;BW;9.188467025888;47.671434693748;https://www.glkn.de;+49 (0)7531/801-0;info@glkn.de;öffentlich;1;381;16792;312.619;2;Neonatologie (204.363 Fälle) | Pädiatrie (1182.505 Fälle);Minimalinvasive Chirurgie (gültig bis 28.02.2027) | TraumaZentrum (gültig bis 03.05.2027) | Brustkrebszentrum (gültig bis 29.12.2026) | Stroke Unit (gültig bis 15.02.2029);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772121;Klinikum Ludwigsburg;Posilipostraße 4;71640;Ludwigsburg, Württemberg;BW;9.203446626598;48.89836232473;https://www.rkh-gesundheit.de/kliniken-zentren/unsere-kliniken/klinikum-ludwigsburg/;+49 (0)7141/99-90;info.lb@rkh-gesundheit.de;öffentlich;1;704;34597.713;745.408;2;Neonatologie (605.044 Fälle) | Pädiatrie (2814.852 Fälle);;;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772154;Kliniken des Landkreises Lörrach GmbH Hauptstandort ELI;Feldbergstraße 15;79539;Lörrach;BW;7.66510615591;47.617564710539;http://www.elikh.de/home.html;+49 (0)7621/1710;info@klinloe.de;öffentlich;1;199;9110.358;141.917;3;Pädiatrie/ohne Differenzierung nach Schwerpunkten (II) (592.995 Fälle) | Pädiatrie/Schwerpunkt Neonatologie (330.076 Fälle) | Pädiatrie (2466.752 Fälle);;;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772389;Universitätsklinikum Mannheim Gmbh;Theodor-Kutzer-Ufer 1-3;68167;Mannheim;BW;8.487168073589;49.491427119948;https://www.umm.de/start/;+49 (0)621/383-0;info@umm.de;öffentlich;1;1058;51428;1084.5;3;Kinderchirurgie (2102.562 Fälle) | Neonatologie (552.501 Fälle) | Pädiatrie (4543.855 Fälle);Stroke Unit (gültig bis 22.03.2027) | Chirurgische Koloproktologie (gültig bis 30.09.2026) | Cochlea-Implantat versorgende Einrichtung (gültig bis 17.11.2026) | Nephrologische Schwerpunktklinik (gültig bis 23.06.2027) | Zentrum für Nierentransplantation (gültig bis 23.06.2027) | Zentrum für Hypertonie (gültig bis 24.07.2027) | Gefäßchirurgie und Gefäßmedizin (gültig bis 30.04.2027) | Neuroonkologisches Zentrum (gültig bis 07.10.2028) | Kopf-Hals-Tumor-Zentrum (gültig bis 07.10.2028) | Sarkomzentrum (gültig bis 07.10.2028) | Hautkrebszentrum (gültig bis 07.10.2028) | Speiseröhrenkrebszentrum (gültig bis 07.10.2028) | Leberkrebszentrum (gültig bis 07.10.2028) | Darmkrebszentrum (gültig bis 07.10.2028) | Onkologisches Zentrum (gültig bis 07.10.2028);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771268;Klinik für Kinderneurologie und Sozialpädiatrie Kinderzentrum Maulbronn gGmbH;Knittlinger Steige 21;75433;Maulbronn;BW;8.800636768374;49.000452037294;http://www.kize.de;+49 (0)7043/16-0;info@kize.de;freigemeinnützig;1;42;536;61.64;0;Pädiatrie/Schwerpunkt Kinderneurologie (536 Fälle);;;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771470;Stauferklinikum Schwäbisch Gmünd;Wetzgauer Straße 85;73557;Mutlangen;BW;9.787352800304;48.81991267254;http://www.kliniken-ostalb.de;+49 (0)7171/7010;info@kliniken-ostalb.de;öffentlich;1;350;17287;285.778;2;Pädiatrie/Schwerpunkt Neonatologie (276.768 Fälle) | Pädiatrie (1751.634 Fälle);Qualitätsmanagement-System für eine Lokale Schlaganfallstation (gültig bis 07.11.2026) | TraumaZentrum (gültig bis 29.03.2029) | Babyfreundliche Geburtsklinik (gültig bis 30.07.2028) | EndoProthetikZentrum der Maximalversorgung (gültig bis 28.07.2028) | Brustkrebszentrum (gültig bis 14.01.2029) | Gynäkologisches Krebszentrum (gültig bis 14.01.2029) | Zentrum für Hämatologische Neoplasien (gültig bis 30.12.2027) | Darmkrebszentrum (gültig bis 14.01.2029) | Onkologisches Zentrum (gültig bis 14.01.2029);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771833;Ortenau Klinikum Offenburg-Kehl Offenburg;Ebertplatz 12;77654;Offenburg;BW;7.954727313481;48.4761459986;http://offenburg-kehl.ortenau-klinikum.de/;+49 (0)781/472-1001;klinikdirektion.og@ortenau-klinikum.de;öffentlich;1;624;29093.133;514.867;1;Pädiatrie (2535.609 Fälle);TraumaZentrum (gültig bis 22.03.2027) | TraumaNetzwerk (gültig bis 23.11.2028) | Schlaflabor (gültig bis 31.12.2026) | Stroke Unit (gültig bis 19.07.2027) | Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 30.04.2028) | Brustkrebszentrum (gültig bis 30.03.2029) | Dysplasie-Einheit (gültig bis 13.10.2026) | Harnblasenkrebszentrum (gültig bis 30.03.2029) | Nierenkrebszentrum (gültig bis 30.03.2027) | Prostatakrebszentrum (gültig bis 30.03.2029) | Gynäkologisches Krebszentrum (gültig bis 30.03.2029) | Zentrum für Hämatologische Neoplasien (gültig bis 16.06.2029) | Darmkrebszentrum (gültig bis 30.03.2029) | Onkologisches Zentrum (gültig bis 30.03.2029);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
773169;Helios Klinikum Pforzheim GmbH;Kanzlerstraße 2-6;75175;Pforzheim;BW;8.711673259768;48.88855931467;http://www.helios-gesundheit.de/pforzheim;+49 (0)7231/9690;gf.pforzheim@helios-kliniken.de;privat;1;500;22722;555;2;Neonatologie (469.75 Fälle) | Pädiatrie (2261.456 Fälle);Wundmanagement im Krankenhaus (gültig bis 17.07.2027) | Brustkrebszentrum (gültig bis 30.03.2027) | TraumaNetzwerk (gültig bis 07.04.2027) | Heart Failure Unit-Schwerpunktklinik (gültig bis 06.10.2028) | Chest Pain Unit (gültig bis 03.09.2028) | Stroke Unit (gültig bis 23.04.2028);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
773137;St. Elisabethen-Klinikum Ravensburg;Elisabethenstraße 15;88212;Ravensburg, Württemberg;BW;9.621534937132;47.787945360369;http://www.oberschwabenklinik.de;+49 (0)751/870;info@oberschwabenklinik.de;öffentlich;1;406;27965;417.543;2;Neonatologie (425.644 Fälle) | Pädiatrie (2740.49 Fälle);Wundmanagement im Krankenhaus (gültig bis 21.06.2027) | Stroke Unit (gültig bis 20.11.2026) | Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 30.11.2026) | Medizinisches Wundcentrum (gültig bis 21.06.2027) | TraumaZentrum (gültig bis 20.06.2027) | TraumaNetzwerk (gültig bis 20.06.2027) | Geriatrie (gültig bis 06.09.2026);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771565;Klinikum am Steinenberg;Steinenbergstraße 31;72764;Reutlingen;BW;9.21819368004;48.483743343529;https://www.kreiskliniken-reutlingen.de/;+49 (0)7121/2000;info@kreiskliniken-reutlingen.de;öffentlich;1;470;25483;528.058;2;Pädiatrie (2350.924 Fälle);Brustkrebszentrum (gültig bis 10.04.2027) | Prostatakrebszentrum (gültig bis 10.04.2027) | Gynäkologisches Krebszentrum (gültig bis 10.04.2027) | Zentrum für Hämatologische Neoplasien (gültig bis 10.04.2027) | Pankreaskrebszentrum (gültig bis 10.04.2027) | Darmkrebszentrum (gültig bis 10.04.2027) | Onkologisches Zentrum (gültig bis 10.04.2027);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772437;DIAK Klinikum Landkreis Schwäbisch Hall gGmbH;Diakoniestraße 10;74523;Schwäbisch Hall;BW;9.741652250323;49.124631741102;https://www.diak-klinikum.de/;+49 (0)791/7530;info@diak-klinikum.de;öffentlich;1;518;23053;341.722;2;Pädiatrie/Schwerpunkt Kinderneurologie (107.863 Fälle) | Pädiatrie (2057.656 Fälle);Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 30.04.2027) | Stroke Unit (gültig bis 30.05.2027);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772366;Kinderklinik Schömberg gGmbH;Römerweg 7;75328;Schömberg bei Neuenbürg, Württemberg;BW;8.647414036095;48.791916635326;https://kinderklinik-schoemberg.de/;+49 (0)7084/928-0;info@kiklisch.de;freigemeinnützig;1;62;851;68.57;0;Pädiatrie (851 Fälle);;;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
773017;Hegau-Bodensee-Klinikum Singen;Virchowstraße 10;78224;Singen(Hohentwiel);BW;8.821524471036;47.75976089215;https://www.glkn.de/glkn/standorte/hbk-singen/hbk-singen-start.php;+49 (0)7731/89-0;info@glkn.de;öffentlich;1;445;20054;395.247;2;Neonatologie (234.118 Fälle) | Pädiatrie (1902.464 Fälle);Brustkrebszentrum (gültig bis 06.09.2027) | Harnblasenkrebszentrum (gültig bis 06.09.2027) | Nierenkrebszentrum (gültig bis 06.09.2027) | Prostatakrebszentrum (gültig bis 06.09.2027) | Gynäkologisches Krebszentrum (gültig bis 06.09.2027) | Darmkrebszentrum (gültig bis 06.09.2027) | Onkologisches Zentrum (gültig bis 06.09.2027) | Stroke Unit (gültig bis 31.08.2027) | Dysplasie-Einheit (gültig bis 24.05.2028);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772786;Klinikum Stuttgart - OH/FK Olgahospital/Frauenklinik;Kriegsbergstraße 62;70174;Stuttgart;BW;9.173708438857;48.783202666073;https://www.klinikum-stuttgart.de/das-klinikum/ueber-uns/struktur-und-standorte/olgahospital-frauenklinik;+49 (0)711/278-00;info@klinikum-stuttgart.de;öffentlich;1;391;22116.389;434.044;3;Intensivmedizin/Schwerpunkt Pädiatrie (381.581 Fälle) | Kinderchirurgie (1615.419 Fälle) | Neonatologie (932.081 Fälle) | Kinderkardiologie (623.755 Fälle) | Pädiatrie/Schwerpunkt Kinderneurologie (1516.559 Fälle) | Pädiatrie (3659.012 Fälle) | Hämatologie und internistische Onkologie/Schwerpunkt Pädiatrie (1313.197 Fälle);Cochlea-Implantat versorgende Einrichtung (gültig bis 20.10.2027) | Brustkrebszentrum (gültig bis 08.04.2029) | Kinderonkologisches Zentrum (gültig bis 08.04.2029) | Gynäkologisches Krebszentrum (gültig bis 08.04.2029);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772041;Universitätsklinikum Tübingen;Hoppe-Seyler-Straße 3;72076;Tübingen;BW;9.037610471232;48.530938538791;https://www.medizin.uni-tuebingen.de;+49 (0)7071/29-0;service@med.uni-tuebingen.de;öffentlich;1;1241;73846;1628.861;3;Intensivmedizin/Schwerpunkt Pädiatrie (196.743 Fälle) | Kinderchirurgie (1708.714 Fälle) | Neonatologie (1405.75 Fälle) | Kinderkardiologie (661.746 Fälle) | Pädiatrie/Schwerpunkt Kinderneurologie (2205.854 Fälle) | Pädiatrie (3987.204 Fälle);Stroke Unit (gültig bis 05.02.2027) | Babyfreundliche Geburtsklinik (gültig bis 25.04.2027) | Cochlea-Implantat versorgende Einrichtung (gültig bis 24.02.2027) | Lungenkrebszentrum (gültig bis 28.03.2028) | Dysplasie-Einheit (gültig bis 22.03.2027) | Hautkrebszentrum (gültig bis 28.03.2028) | Zentrum für Hämatologische Neoplasien (gültig bis 28.03.2028) | Speiseröhrenkrebszentrum (gültig bis 28.03.2028) | Leberkrebszentrum (gültig bis 28.03.2028) | Magenkrebszentrum (gültig bis 28.03.2028) | Pankreaskrebszentrum (gültig bis 28.03.2028) | Darmkrebszentrum (gültig bis 28.03.2028) | Brustkrebszentrum (gültig bis 28.03.2028) | Kinderonkologisches Zentrum (gültig bis 28.03.2028) | Kopf-Hals-Tumor-Zentrum (gültig bis 28.03.2028) | Gynäkologisches Krebszentrum (gültig bis 28.03.2028) | Zentrum für Personalisierte Medizin (gültig bis 28.03.2028) | Zentrum für familiären Brust- und Eierstockkrebs (gültig bis 28.03.2028) | Neuroonkologisches Zentrum (gültig bis 28.03.2028) | Sarkomzentrum (gültig bis 28.03.2028) | Harnblasenkrebszentrum (gültig bis 28.03.2028) | Nierenkrebszentrum (gültig bis 28.03.2028) | Hodenkrebszentrum (gültig bis 28.03.2028) | Prostatakrebszentrum (gültig bis 28.03.2028) | Onkologisches Zentrum (gültig bis 28.03.2028) | Kontinenz- und Beckenbodenzentrum - Komplexversorgung (gültig bis 20.12.2027) | Überregionales Heart Failure Unit-Zentrum (gültig bis 01.10.2028) | Chest Pain Unit (gültig bis 19.07.2027) | TraumaZentrum (gültig bis 17.05.2027) | MUKOzert (gültig bis 12.08.2027) | Diabetes Exzellenzzentrum (gültig bis 21.07.2027) | Nephrologische Schwerpunktklinik (gültig bis 07.03.2028) | Schlaflabor (gültig bis 31.12.2027) | Gefäßzentrum (gültig bis 31.12.2027);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
